"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"MontanaStateUniversity",8,7,9,7,7
"MontanaStateUniversity",6,4,3,4,5
"MontanaStateUniversity",9,5,6,5,5
"MontanaStateUniversity",6,4,5,6,5
"MontanaStateUniversity",4,9,6,5,7
"MontanaStateUniversity",3,2,1,2,2
"MontanaStateUniversity",4,5,3,6,5
"MontanaStateUniversity",6,3,3,6,5
"MontanaStateUniversity",5,4,6,7,6
"MontanaStateUniversity",6,5,7,6,4
"MontanaStateUniversity",5,5,5,5,4
"MontanaStateUniversity",9,5,6,3,5
"MontanaStateUniversity",4,1,1,1,2
"MontanaStateUniversity",9,9,6,9,8
"MontanaStateUniversity",7,6,8,7,7
"MontanaStateUniversity",5,6,6,6,3
"MontanaStateUniversity",9,7,9,9,9
"MontanaStateUniversity",6,3,6,7,6
"MontanaStateUniversity",6,6,6,6,6
"MontanaStateUniversity",6,1,7,7,5
"MontanaStateUniversity",5,5,7,5,5
"MontanaStateUniversity",9,5,3,9,3
"MontanaStateUniversity",8,6,7,5,7
"MontanaStateUniversity",8,5,6,5,5
"MontanaStateUniversity",4,4,6,5,6
"MontanaStateUniversity",7,6,8,8,8
"MontanaStateUniversity",9,3,6,7,8
"MontanaStateUniversity",7,9,8,7,8
"MontanaStateUniversity",7,5,7,6,7
"MontanaStateUniversity",8,4,5,7,4
"MontanaStateUniversity",9,3,8,7,8
"MontanaStateUniversity",7,6,7,6,7
"MontanaStateUniversity",6,3,5,6,6
"MontanaStateUniversity",7,5,7,4,5
"MontanaStateUniversity",6,6,6,7,6
"MontanaStateUniversity",6,6,5,6,4
"MontanaStateUniversity",4,4,5,3,3
"MontanaStateUniversity",6,5,6,7,6
"MontanaStateUniversity",7,6,6,5,6
"MontanaStateUniversity",9,9,9,5,8
"MontanaStateUniversity",6,4,5,6,6
"MontanaStateUniversity",6,6,6,5,5
"MontanaStateUniversity",9,1,9,9,7
"MontanaStateUniversity",6,6,4,2,3
"MontanaStateUniversity",4,6,5,4,5
"MontanaStateUniversity",6,1,1,3,1
"MontanaStateUniversity",6,7,5,8,4
"MontanaStateUniversity",4,2,3,1,3
"MontanaStateUniversity",6,6,6,6,6
"MontanaStateUniversity",5,5,6,5,6
"MontanaStateUniversity",8,7,8,7,8
"MontanaStateUniversity",4,3,3,5,3
"MontanaStateUniversity",6,5,5,5,5
"MontanaStateUniversity",7,7,8,7,5
"MontanaStateUniversity",9,5,9,7,7
"MontanaStateUniversity",8,6,6,5,7
"MontanaStateUniversity",6,5,4,4,4
"MontanaStateUniversity",7,7,8,9,7
"MontanaStateUniversity",7,5,6,3,7
"MontanaStateUniversity",4,5,4,3,4
"MontanaStateUniversity",1,5,5,4,5
"MontanaStateUniversity",5,7,5,6,6
"MontanaStateUniversity",7,6,7,6,6
"MontanaStateUniversity",7,6,6,6,7
"MontanaStateUniversity",4,6,7,7,5
"MontanaStateUniversity",6,5,6,5,6
